n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
10,515.7700,0,3,4,5,6,7,32,9,13,14
