n_nodes,influence,n0,n1
2,169.0700,8,7
2,169.0700,8,7
2,169.0700,8,7
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
2,146.4500,2,8
