n_nodes,influence,n0,n1,n2,n3,n4
5,257.6300,36,9,8,22,31
5,257.6300,36,9,8,22,31
5,247.6100,36,9,7,22,31
5,235.1900,5,9,40,22,31
5,230.4500,5,9,433,22,31
5,203.2100,36,9,627,22,13
5,203.2100,36,9,627,22,13
5,203.2100,36,9,627,22,13
5,203.2100,36,9,627,22,13
5,203.2100,36,9,627,22,13
5,203.2100,36,9,627,22,13
5,203.2100,36,9,627,22,13
5,203.2100,36,9,627,22,13
5,203.2100,36,9,627,22,13
5,196.8200,113,36,9,22,31
5,193.9100,627,9,36,31,13
5,186.9500,483,36,7,22,31
5,186.9500,483,36,7,22,31
5,186.9500,483,36,7,22,31
5,186.9500,483,36,7,22,31
5,186.9500,483,36,7,22,31
5,186.9500,483,36,7,22,31
5,186.9500,483,36,7,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,31,22
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,31,22
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,31,22
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,31,22
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,31,22
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,31,22
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,31,22
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,31,22
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,31,22
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,31,22
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,31,22
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
5,185.2700,36,9,433,22,31
