n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
7,427.5100,0,3,4,5,6,21,8
