n_nodes,influence,n0
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
1,34.5448,8
