n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,105.7061,768,32,4,36,37,8,237,118,58,60
10,105.5037,768,32,4,36,37,8,237,16,58,60
10,103.7139,768,32,4,36,37,8,237,218,58,60
10,102.3034,768,97,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,102.2152,768,402,32,4,37,8,237,16,58,60
10,101.9643,768,32,4,36,37,8,237,374,58,60
10,101.9643,768,32,4,36,37,8,237,374,58,60
10,101.9643,768,32,4,36,37,8,237,374,58,60
10,101.9643,768,32,4,36,37,8,237,374,58,60
10,101.9643,768,32,4,36,37,8,237,374,58,60
10,101.9643,768,32,4,36,37,8,237,374,58,60
10,101.2505,768,32,4,36,37,8,237,118,371,60
10,101.2505,768,32,4,36,37,8,237,118,371,60
10,101.2505,768,32,4,36,37,8,237,118,371,60
10,101.2505,768,32,4,36,37,8,237,118,371,60
10,101.2505,768,32,4,36,37,8,237,118,371,60
10,101.2505,768,32,4,36,37,8,237,118,371,60
10,101.2505,768,32,4,36,37,8,237,118,371,60
10,101.2505,768,32,4,36,37,8,237,118,371,60
10,101.2505,768,32,4,36,37,8,237,118,371,60
10,101.2505,768,32,4,36,37,8,237,118,371,60
10,101.2505,768,32,4,36,37,8,237,118,371,60
10,101.0198,528,32,929,4,37,8,237,16,58,60
10,101.0198,528,32,929,4,37,8,237,16,58,60
10,101.0198,528,32,929,4,37,8,237,16,58,60
10,101.0198,528,32,929,4,37,8,237,16,58,60
10,101.0198,528,32,929,4,37,8,237,16,58,60
10,101.0198,528,32,929,4,37,8,237,16,58,60
10,101.0198,528,32,929,4,37,8,237,16,58,60
10,100.9841,768,32,485,4,37,8,237,16,58,60
10,100.9841,768,32,485,4,37,8,237,16,58,60
10,100.7418,768,32,929,4,37,8,237,16,58,60
10,100.7418,768,32,929,4,37,8,237,16,58,60
10,100.7418,768,32,929,4,37,8,237,16,58,60
10,100.7418,768,32,929,4,37,8,237,16,58,60
10,100.7418,768,32,929,4,37,8,237,16,58,60
10,100.7418,768,32,929,4,37,8,237,16,58,60
10,100.7418,768,32,929,4,37,8,237,16,58,60
10,100.7418,768,32,929,4,37,8,237,16,58,60
10,100.7418,768,32,929,4,37,8,237,16,58,60
10,100.7418,768,32,929,4,37,8,237,16,58,60
10,100.7418,768,32,929,4,37,8,237,16,58,60
