n_nodes,influence,n0,n1
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
2,58.1753,8,3
