n_nodes,influence,n0,n1,n2,n3,n4
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
5,200.8400,21,13,27,14,127
