n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,511.3600,0,3,21,5,6,7,8,9,13,14
10,511.3600,0,3,21,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,507.7900,0,51,4,5,6,7,8,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
10,504.8500,8,4,3,0,5,7,6,9,13,14
