n_nodes,influence,n0,n1
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
2,189.7400,8,4
