n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,0,3,4,5,6,7,8
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
7,424.3000,8,4,3,0,5,7,6
