n_nodes,influence,n0,n1
2,35.7583,5,22
2,35.7583,5,22
2,35.7583,5,22
2,35.7583,5,22
2,34.7738,22,7
2,34.7738,22,7
2,34.7738,22,7
2,33.9259,5,31
2,33.9259,5,31
2,33.9259,5,31
2,33.9259,5,31
2,33.9259,5,31
2,33.9259,5,31
2,33.9259,5,31
2,33.9259,5,31
2,32.5141,31,7
2,32.5141,31,7
2,32.5141,31,7
2,26.0352,5,452
2,25.4710,158,7
2,25.4474,5,705
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
2,22.6056,31,22
