n_nodes,influence,n0,n1,n2,n3,n4
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
5,2614.7300,8,4,3,0,5
