n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,505.6900,0,3,4,5,6,7,62,9,13,14
10,505.6900,0,3,4,5,6,7,62,9,13,14
10,505.0300,0,3,4,5,6,7,91,9,13,14
10,505.0300,0,3,4,5,6,7,91,9,13,14
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
10,504.8500,8,0,3,5,4,6,7,9,14,13
