n_nodes,influence,n0,n1
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
2,193.5200,8,0
