n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,0,3,4,5,6,7,8
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
7,170.9291,8,0,3,5,4,6,7
