n_nodes,influence,n0,n1,n2,n3,n4
5,1185.6200,5,36,9,14,29
5,1185.6200,5,36,9,14,29
5,1120.8700,36,5,9,14,123
5,1060.3900,36,5,9,233,29
5,1040.5100,736,36,7,9,29
5,1040.5100,736,36,7,9,29
5,988.8500,736,36,8,14,29
5,988.8500,736,36,8,14,29
5,988.8500,736,36,8,14,29
5,962.8800,436,36,7,14,29
5,962.8800,436,36,7,14,29
5,962.8800,436,36,7,14,29
5,962.8800,436,36,7,14,29
5,952.1700,736,21,9,14,29
5,952.1700,736,21,14,9,29
5,952.1700,736,21,9,14,29
5,952.1700,736,21,9,14,29
5,952.1700,736,21,9,14,29
5,951.8200,736,36,7,14,29
5,951.8200,736,36,7,14,29
5,951.8200,736,36,7,14,29
5,951.8200,736,36,7,14,29
5,951.8200,736,36,7,14,29
5,951.8200,736,36,7,14,29
5,951.8200,736,36,7,14,29
5,951.8200,736,36,7,14,29
5,951.8200,736,36,7,14,29
5,951.8200,736,36,7,14,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,9,14,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
5,918.6400,436,36,14,9,29
