n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,317.1700,32,4,5,997,722,554,172,209,54,326
10,316.6300,32,4,997,5,36,942,172,54,727,209
10,316.4500,32,4,5,997,264,36,172,54,727,209
10,316.4500,32,4,5,997,264,36,172,54,727,209
10,316.4500,32,4,5,997,264,36,172,54,727,209
10,315.3700,32,4,997,5,36,244,172,54,727,925
10,309.2200,32,4,997,5,36,264,172,54,206,925
10,309.0400,32,4,116,5,36,264,172,54,727,925
10,308.9800,32,4,997,5,326,428,554,172,209,54
10,308.1700,32,4,5,997,722,554,172,54,26,826
10,308.1700,32,4,5,997,722,554,172,54,26,826
10,308.1700,32,4,5,997,722,554,172,54,26,826
10,308.1700,32,4,5,997,722,554,172,54,26,826
10,306.9400,32,4,5,997,264,554,172,209,54,326
10,306.9400,32,4,997,5,264,554,172,209,54,326
10,306.9400,32,4,997,5,264,554,172,209,54,326
10,306.9400,32,4,997,5,264,554,172,209,54,326
10,306.9400,32,4,997,5,264,554,172,209,54,326
10,306.9400,32,4,5,997,264,554,172,209,54,326
10,306.9400,32,4,5,997,264,554,172,209,54,326
10,306.9400,32,4,997,5,264,554,172,209,54,326
10,306.9400,32,4,997,5,264,554,172,209,54,326
10,306.9400,32,4,5,997,264,554,172,209,54,326
10,306.9400,32,4,997,5,264,554,172,209,54,326
10,306.9400,32,4,997,5,264,554,172,209,54,326
10,306.9400,32,4,997,5,264,554,172,209,54,326
10,306.9400,32,4,997,5,264,554,172,209,54,326
10,305.0200,32,4,5,997,264,36,172,54,727,826
10,304.1200,32,4,997,5,36,942,172,54,727,925
10,304.1200,32,4,997,5,36,942,172,54,727,925
10,304.1200,32,4,997,5,36,942,172,54,727,925
10,304.1200,32,4,997,5,36,942,172,54,727,925
10,304.1200,32,4,997,5,36,942,172,54,727,925
10,304.1200,32,4,997,5,36,942,172,54,727,925
10,304.1200,32,4,997,5,36,942,172,54,727,925
10,304.1200,32,4,997,5,36,942,172,54,727,925
10,304.1200,32,4,997,5,36,942,172,54,727,925
10,304.1200,32,4,997,5,36,942,172,54,727,925
10,304.1200,32,4,997,5,36,942,172,54,727,925
10,304.1200,32,4,997,5,36,942,172,54,727,925
10,304.1200,32,4,997,5,36,942,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
10,303.9400,32,4,5,997,264,36,172,54,727,925
