n_nodes,influence,n0,n1
2,169.0700,8,7
2,169.0700,8,7
2,169.0700,8,7
2,169.0700,8,7
2,165.5000,3,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
2,160.5200,8,9
