n_nodes,influence,n0,n1,n2,n3,n4
5,227.6900,7,9,32,212,20
5,224.0900,32,7,9,84,20
5,224.0900,32,7,9,84,20
5,224.0900,9,7,32,84,20
5,224.0900,9,7,32,84,20
5,224.0900,9,7,32,84,20
5,224.0900,7,9,32,84,20
5,224.0900,7,9,32,84,20
5,224.0900,7,9,32,84,20
5,224.0900,7,9,32,84,20
5,224.0900,9,7,32,84,20
5,224.0900,9,7,32,84,20
5,224.0900,7,9,32,84,20
5,224.0900,9,7,32,84,20
5,224.0900,7,9,32,84,20
5,224.0900,7,9,32,84,20
5,224.0900,9,7,32,84,20
5,222.3200,9,7,32,76,20
5,222.3200,32,7,9,76,20
5,222.3200,32,7,9,76,20
5,222.3200,32,7,9,76,20
5,222.3200,32,7,9,76,20
5,222.3200,32,7,9,76,20
5,222.3200,32,7,9,76,20
5,219.6200,30,7,9,84,20
5,219.6200,30,7,9,84,20
5,219.6200,30,7,9,84,20
5,219.6200,30,7,9,84,20
5,219.6200,30,7,9,84,20
5,219.6200,30,7,9,84,20
5,219.6200,30,7,9,84,20
5,219.6200,30,7,9,84,20
5,219.6200,30,7,9,84,20
5,218.9900,32,7,9,720,20
5,218.9900,32,7,9,720,20
5,218.6300,32,7,9,154,20
5,218.5400,7,9,32,586,20
5,218.5400,9,7,32,586,20
5,218.5400,32,7,9,586,20
5,218.5400,7,9,32,586,20
5,218.5400,9,7,32,586,20
5,218.5400,9,7,32,586,20
5,218.5400,9,7,32,586,20
5,218.0300,30,7,9,76,20
5,218.0300,30,7,9,76,20
5,216.1700,7,9,421,20,30
5,214.6400,7,9,237,20,30
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
5,214.2500,30,7,9,586,20
