n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,304.4200,0,33,3,71,7,73,153
7,301.6600,0,3,99,103,73,40,7
7,300.3100,0,71,33,73,266,7,3
7,300.3100,0,71,33,73,266,7,3
7,300.3100,0,71,33,73,266,7,3
7,300.3100,0,71,33,73,266,7,3
7,299.8000,0,3,71,103,73,7,152
7,298.8700,0,3,103,71,73,40,7
7,298.8700,0,3,103,71,73,40,7
7,298.8700,0,3,103,71,73,40,7
7,296.5600,0,17,33,3,7,73,266
7,296.5600,0,17,33,3,7,73,266
7,296.5600,0,17,33,3,7,73,266
7,296.5600,0,17,33,3,7,73,266
7,295.2100,0,3,103,71,73,317,7
7,294.2800,0,33,3,7,73,280,17
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
7,294.2500,0,193,33,73,266,7,3
