n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,107.3335,3,36,4,7,2,942,213,27,317,159
10,107.3335,3,36,4,7,2,942,213,27,317,159
10,107.3335,3,36,4,7,2,942,213,27,317,159
10,107.3335,3,36,4,7,2,942,213,27,317,159
10,106.7070,3,36,4,423,7,118,78,942,27,381
10,106.3104,3,36,4,7,423,265,78,27,317,159
10,106.3104,3,36,4,7,423,265,78,27,317,159
10,106.3104,3,36,4,7,423,265,78,27,317,159
10,106.3104,3,36,4,7,423,265,78,27,317,159
10,106.3104,3,36,4,7,423,265,78,27,317,159
10,106.3104,3,36,4,7,423,265,78,27,317,159
10,106.3104,3,36,4,7,423,265,78,27,317,159
10,106.3104,3,36,4,7,423,265,78,27,317,159
10,106.3104,3,36,4,7,423,265,78,27,317,159
10,106.0744,3,36,4,7,213,204,78,27,317,159
10,105.6406,3,36,4,7,2,942,559,27,317,159
10,105.4542,3,36,4,132,7,265,78,942,27,381
10,104.8445,3,36,4,423,7,265,78,27,659,159
10,104.7460,3,36,4,7,423,265,78,27,317,381
10,104.7036,3,36,4,423,7,265,78,942,27,281
10,104.4661,3,36,4,7,423,265,78,942,27,159
10,104.4616,3,36,4,423,7,265,78,27,350,159
10,104.4405,3,36,4,423,7,265,78,27,364,159
10,103.6652,3,36,4,423,7,551,78,27,317,159
10,103.5601,3,36,4,7,423,204,213,27,317,159
10,103.3991,3,36,4,423,7,94,78,942,27,381
10,103.3913,3,36,4,423,7,265,112,27,317,159
10,103.2014,3,36,4,7,423,265,559,27,317,159
10,103.2014,3,36,4,7,423,265,559,27,317,159
10,103.2014,3,36,4,7,423,265,559,27,317,159
10,103.1346,3,36,4,7,213,204,78,942,27,381
10,103.1346,3,36,4,7,213,204,78,942,27,381
10,103.1346,3,36,4,7,213,204,78,942,27,381
10,103.1346,3,36,4,7,213,204,78,942,27,381
10,103.1346,3,36,4,7,213,204,78,942,27,381
10,103.1346,3,36,4,7,213,204,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
10,102.9016,3,36,4,7,423,265,78,942,27,381
