n_nodes,influence,n0,n1
2,56.4335,8,7
2,56.4335,8,7
2,56.4335,8,7
2,56.4335,8,7
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
2,55.0726,8,9
