n_nodes,influence,n0,n1,n2,n3,n4
5,63.3296,7,9,32,82,83
5,63.3296,7,9,32,82,83
5,63.3296,7,9,32,82,83
5,63.3296,7,9,32,82,83
5,63.3296,7,9,32,82,83
5,61.9318,32,7,9,154,83
5,60.6815,7,9,32,335,83
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.4783,7,9,32,335,82
5,60.2533,32,7,9,652,83
5,60.2105,7,9,32,44,83
5,60.2105,7,9,32,44,83
5,60.2105,7,9,32,44,83
5,60.2105,7,9,32,44,83
5,60.2105,7,9,32,44,83
5,60.2105,7,9,32,44,83
5,60.2105,7,9,32,44,83
5,60.2105,7,9,32,44,83
5,60.2105,7,9,32,44,83
5,60.2105,7,9,32,44,83
5,60.2105,7,9,32,44,83
5,60.2105,7,9,32,44,83
5,60.2105,7,9,32,44,83
5,60.2105,7,9,32,44,83
5,60.0501,32,7,9,652,82
5,60.0033,7,9,32,44,82
5,59.9366,32,7,9,468,83
5,59.4456,32,7,9,720,82
5,59.4041,32,7,9,335,163
5,59.4041,32,7,9,335,163
5,58.4033,7,9,186,82,83
5,58.4033,7,9,186,82,83
5,58.4033,7,9,186,82,83
5,58.4033,7,9,186,82,83
5,58.4033,7,9,186,82,83
5,58.4033,7,9,186,82,83
5,58.1596,32,7,9,335,162
5,57.8888,7,9,434,82,83
5,57.8888,7,9,434,82,83
5,57.8888,7,9,434,82,83
5,57.8888,7,9,434,82,83
5,57.8888,7,9,434,82,83
5,57.8888,7,9,434,82,83
5,57.8888,7,9,434,82,83
5,57.8888,7,9,434,82,83
5,57.8577,7,9,311,82,83
5,57.8577,7,9,311,82,83
