n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,90.9589,213,8,9,21,22,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,90.5922,22,9,133,8,21,855,29
7,89.8624,299,8,9,16,561,22,29
7,89.8624,299,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
7,89.6201,199,8,9,16,561,22,29
