n_nodes,influence,n0,n1,n2,n3,n4
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,13,7,32
5,208.8500,68,36,7,13,32
5,208.8500,68,36,13,7,32
5,190.0700,68,36,7,13,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
5,190.0700,68,36,13,7,78
