n_nodes,influence,n0,n1,n2,n3,n4
5,92.9391,5,9,8,554,22
5,92.9391,5,9,8,554,22
5,92.9391,5,9,8,554,22
5,80.7855,5,9,7,554,22
5,80.7855,5,9,7,554,22
5,64.2999,5,9,426,314,22
5,64.2999,5,9,426,314,22
5,64.2999,5,9,426,314,22
5,64.2999,5,9,426,314,22
5,64.2999,5,9,426,314,22
5,64.2999,5,9,426,314,22
5,64.2999,5,9,426,314,22
5,64.2999,5,9,426,314,22
5,64.2999,5,9,426,314,22
5,64.0197,5,9,40,22,728
5,63.2546,5,9,196,554,22
5,63.2546,5,9,196,554,22
5,63.2546,5,9,196,554,22
5,63.2546,5,9,196,554,22
5,62.7346,5,9,426,728,22
5,62.7346,5,9,426,728,22
5,62.7346,5,9,426,728,22
5,62.5744,5,9,426,230,22
5,62.5744,5,9,426,230,22
5,62.5744,5,9,426,230,22
5,62.5744,5,9,426,230,22
5,62.5473,5,9,426,382,22
5,62.5473,5,9,426,382,22
5,62.5473,5,9,426,382,22
5,62.3440,5,9,426,452,22
5,62.2949,5,9,426,797,22
5,62.2949,5,9,426,797,22
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
5,62.2798,22,426,9,554,5
