n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,372.6700,0,2,3,842,32,9,301,14,141,218
10,367.3000,0,32,2,3,9,842,301,14,141,177
10,367.3000,0,32,2,3,9,842,301,14,141,177
10,367.3000,0,32,2,3,9,842,301,14,141,177
10,365.4100,0,2,3,842,32,301,14,694,9,218
10,365.4100,0,2,3,842,32,301,14,694,9,218
10,365.2000,0,32,2,3,9,842,301,14,141,293
10,365.0500,0,32,2,3,9,911,301,14,141,694
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
10,362.4100,0,2,3,842,32,301,14,694,9,141
