n_nodes,influence,n0,n1
2,140.0000,13,3
2,140.0000,13,3
2,140.0000,13,3
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,123.9200,13,7
2,115.3700,7,29
2,115.3700,7,29
2,115.3700,7,29
2,115.3700,7,29
2,115.3700,7,29
2,115.3700,7,29
2,115.3700,7,29
2,115.3700,7,29
2,115.3700,7,29
2,115.3700,7,29
