n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,316.3300,3,36,5,133,102,8,392
7,270.9400,802,36,5,301,102,8,392
7,269.7400,802,36,5,382,102,8,392
7,269.7400,802,36,5,728,102,8,392
7,269.7400,802,36,5,728,102,8,392
7,269.7400,802,36,5,728,102,8,392
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
7,268.4800,102,36,133,8,5,392,802
