n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,109.5854,3,72,5,390,9,13,14,817,216,413
10,108.7364,355,3,5,390,9,14,817,216,413,13
10,108.7364,355,3,5,390,9,14,817,216,413,13
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,105.4599,355,3,5,66,9,13,817,216,413,223
10,104.8394,66,3,355,5,9,13,917,216,413,223
10,104.6856,66,3,355,5,9,13,817,216,413,173
10,104.6856,66,3,355,5,9,13,817,216,413,173
10,101.6794,355,3,5,390,134,200,9,13,230,413
10,101.0419,355,3,5,9,67,13,817,372,413,223
10,101.0042,3,355,5,390,200,9,13,817,413,134
10,101.0042,3,355,5,390,200,9,13,817,413,134
10,100.8101,3,355,5,104,9,13,817,650,413,223
10,100.8101,3,355,5,104,9,13,817,650,413,223
10,100.8101,3,355,5,104,9,13,817,650,413,223
10,100.8101,3,355,5,104,9,13,817,650,413,223
10,100.4583,355,3,5,104,9,13,817,216,413,223
10,100.4583,355,3,5,104,9,13,817,216,413,223
10,100.4583,355,3,5,104,9,13,817,216,413,223
10,100.4583,355,3,5,104,9,13,817,216,413,223
10,100.4583,355,3,5,104,9,13,817,216,413,223
10,100.4583,355,3,5,104,9,13,817,216,413,223
10,100.4583,355,3,5,104,9,13,817,216,413,223
10,100.4583,355,3,5,104,9,13,817,216,413,223
10,100.4583,355,3,5,104,9,13,817,216,413,223
10,100.4583,355,3,5,104,9,13,817,216,413,223
10,100.4583,355,3,5,104,9,13,817,216,413,223
10,100.4583,355,3,5,104,9,13,817,216,413,223
10,100.4583,355,3,5,104,9,13,817,216,413,223
10,100.3672,66,3,355,5,9,13,817,216,174,223
10,100.3194,355,3,5,104,9,13,305,216,413,223
10,100.3194,3,355,5,104,9,13,305,216,413,223
10,100.3194,3,355,5,104,9,13,305,216,413,223
10,100.3194,3,355,5,104,9,13,305,216,413,223
10,100.3194,3,355,5,104,9,13,305,216,413,223
10,100.1802,3,5,390,9,67,13,817,372,413,223
10,99.3877,3,204,5,9,13,817,372,114,413,223
10,98.7906,3,355,5,9,13,156,817,216,413,223
10,98.6902,355,3,5,390,9,13,817,896,413,223
10,98.6371,3,355,5,390,9,14,817,661,413,223
10,98.6371,3,355,5,390,9,14,817,661,413,223
10,98.5884,3,355,5,9,13,271,817,419,413,223
10,98.5595,3,204,5,9,13,817,310,216,413,223
10,98.5469,355,3,5,271,9,13,817,216,413,223
