n_nodes,influence,n0,n1
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
2,35.0904,13,7
