n_nodes,influence,n0,n1,n2,n3,n4
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
5,69.8382,123,7,9,32,20
