n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,106.4771,159,4,7,8,110,22,60
7,105.9506,544,4,7,8,110,22,29
7,105.4599,544,4,7,8,110,22,60
7,105.4599,544,4,7,8,110,22,60
7,105.4599,544,4,7,8,110,22,60
7,105.4130,4,7,8,204,110,22,60
7,104.3787,930,4,7,8,110,22,60
7,104.3787,930,4,7,8,110,22,60
7,104.3787,930,4,7,8,110,22,60
7,104.3787,930,4,7,8,110,22,60
7,104.3787,930,4,7,8,110,22,60
7,103.1576,4,7,8,91,110,50,60
7,103.1576,4,7,8,91,110,50,60
7,103.1576,4,7,8,91,110,50,60
7,103.1576,4,7,8,91,110,50,60
7,103.1576,4,7,8,91,110,50,60
7,103.1576,4,7,8,91,110,50,60
7,103.1576,4,7,8,91,110,50,60
7,103.1576,4,7,8,91,110,50,60
7,103.1576,4,7,8,91,110,50,60
7,103.1576,4,7,8,91,110,50,60
7,103.1576,4,7,8,91,110,50,60
7,103.1576,4,7,8,91,110,50,60
7,101.5261,159,4,50,7,110,8,60
7,101.4041,409,4,50,7,110,8,60
7,101.4041,409,4,50,7,110,8,60
7,101.4041,409,4,50,7,110,8,60
7,101.3722,159,204,4,7,8,50,60
7,101.3722,159,204,4,7,8,50,60
7,101.3722,159,204,4,7,8,50,60
7,101.3722,159,204,4,7,8,50,60
7,101.3722,159,204,4,7,8,50,60
7,101.3722,159,204,4,7,8,50,60
7,101.3722,159,204,4,7,8,50,60
7,101.3722,159,204,4,7,8,50,60
7,101.3443,4,7,8,110,91,60,157
7,101.1112,159,4,7,8,110,22,317
7,101.1112,159,4,7,8,110,22,317
7,101.1112,159,4,7,8,110,22,317
7,100.5089,544,4,7,8,110,50,60
7,100.5089,544,4,7,8,110,50,60
7,100.5089,544,4,7,8,110,50,60
7,100.5089,544,4,7,8,110,50,60
7,100.5089,544,4,7,8,110,50,60
7,100.5089,544,4,7,8,110,50,60
7,100.5089,544,4,7,8,110,50,60
7,100.5089,544,4,7,8,110,50,60
7,100.3888,4,7,8,204,110,50,60
7,100.3888,4,7,8,204,110,50,60
7,100.3888,4,7,8,204,110,50,60
7,100.3888,4,7,8,204,110,50,60
7,100.3888,4,7,8,204,110,50,60
7,100.3888,4,7,8,204,110,50,60
7,100.3888,4,7,8,204,110,50,60
7,100.3888,4,7,8,204,110,50,60
7,100.3888,4,7,8,204,110,50,60
7,100.3849,4,7,8,204,99,60,159
7,100.3849,4,7,8,204,99,60,159
7,100.3849,4,7,8,204,99,60,159
7,100.3849,4,7,8,204,99,60,159
7,100.3849,4,7,8,204,99,60,159
7,100.3849,4,7,8,204,99,60,159
7,100.3849,4,7,8,204,99,60,159
7,100.3849,4,7,8,204,99,60,159
