n_nodes,influence,n0,n1,n2,n3,n4
5,512.2500,103,13,27,14,21
5,512.2500,103,13,27,14,21
5,512.2500,103,13,27,14,21
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
5,500.0000,21,13,27,14,127
