n_nodes,influence,n0,n1,n2,n3,n4
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,27,14,95
5,54.4368,13,14,21,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,14,27,95
5,54.4368,21,13,27,14,95
