n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,11171.1700,777,684,46,366,753,401,659,597,344,157
10,11166.7000,777,684,366,462,46,401,659,157,344,499
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11159.5600,777,684,46,366,462,401,659,317,344,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
10,11155.8400,401,344,46,659,777,684,366,597,462,157
