n_nodes,influence,n0,n1
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
2,2390.9900,401,507
