n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,401,659,344,507
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
7,8044.7200,707,684,46,507,401,659,344
