n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,33.9463,293,777,684,46,366,347,401,659,597,344
10,33.9463,293,777,684,46,366,347,401,659,597,344
10,33.6935,293,777,684,946,366,46,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6628,293,777,684,46,366,373,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
10,33.6542,293,777,684,46,366,525,401,659,597,344
