n_nodes,influence,n0,n1
2,7.0919,401,347
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
2,7.0634,967,401
