n_nodes,influence,n0,n1,n2,n3,n4
5,17.3257,777,46,401,157,347
5,17.2886,149,46,401,659,347
5,17.2886,149,46,401,659,347
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
5,17.2882,347,46,401,659,777
