n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,24.0789,967,777,155,46,401,659,344
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
7,24.0463,401,344,46,659,777,684,967
