n_nodes,influence,n0,n1,n2,n3,n4
5,30907.2700,344,46,401,157,664
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30906.8500,347,46,401,659,344
5,30897.6100,46,401,507,344,347
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
5,30834.2600,664,46,401,659,344
