n_nodes,influence,n0,n1,n2,n3,n4
5,17.3877,795,401,46,659,507
5,17.3877,795,401,46,659,507
5,17.3873,795,401,659,344,507
5,17.3873,795,401,659,344,507
5,17.3873,795,401,659,344,507
5,17.3873,795,401,659,344,507
5,17.3873,795,401,659,344,507
5,17.3873,795,401,659,344,507
5,17.3873,795,401,659,344,507
5,17.3873,795,401,659,344,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
5,17.3683,401,344,46,659,507
