n_nodes,influence,n0
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
1,1221.8200,401
