n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,11102.3200,7,261,46,684,206,807,401,789,632,157
10,11102.3200,7,261,46,684,206,807,401,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10978.3000,7,261,46,878,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10963.4800,7,261,46,490,401,206,165,789,632,157
10,10952.9800,261,165,679,807,684,155,401,789,632,157
10,10942.7200,7,261,46,490,206,807,401,789,632,157
10,10942.7200,7,261,46,490,206,807,401,789,632,157
10,10942.7200,7,261,46,490,206,807,401,789,632,157
10,10942.7200,7,261,46,490,206,807,401,789,632,157
10,10942.7200,7,261,46,490,206,807,401,789,632,157
10,10942.7200,7,261,46,490,206,807,401,789,632,157
10,10942.7200,7,261,46,490,206,807,401,789,632,157
10,10942.7200,7,261,46,490,206,807,401,789,632,157
10,10912.8400,261,165,679,684,206,401,821,789,632,157
10,10912.8400,261,165,679,684,206,401,821,789,632,157
10,10912.8400,261,165,679,684,206,401,821,789,632,157
10,10912.8400,261,165,679,684,206,401,821,789,632,157
10,10912.8400,261,165,679,684,206,401,821,789,632,157
10,10912.8400,261,165,679,684,206,401,821,789,632,157
10,10908.3700,261,165,679,684,206,807,401,789,632,157
10,10908.3700,261,165,679,684,206,807,401,789,632,157
10,10908.3700,261,165,679,684,206,807,401,789,632,157
10,10908.3700,261,165,679,684,206,807,401,789,632,157
10,10908.3700,261,165,679,684,206,807,401,789,632,157
10,10908.3700,261,165,679,684,206,807,401,789,632,157
10,10908.3700,261,165,679,684,206,807,401,789,632,157
10,10908.3700,261,165,679,684,206,807,401,789,632,157
10,10908.3700,261,165,679,684,206,807,401,789,632,157
