n_nodes,influence,n0,n1
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
2,2313.6500,659,261
