n_nodes,influence,n0,n1,n2,n3,n4
5,5669.2700,707,731,789,505,507
5,5669.2700,707,731,789,505,507
5,5669.2700,707,731,789,505,507
5,5669.2700,707,731,789,505,507
5,5669.2700,707,731,789,505,507
5,5669.2700,707,731,789,505,507
5,5669.2700,707,731,789,505,507
5,5669.2700,707,731,789,505,507
5,5669.2700,707,731,789,505,507
5,5669.2700,707,731,789,505,507
5,5669.2700,707,731,789,505,507
5,5669.2700,707,731,789,505,507
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5663.6000,709,865,507,707,789
5,5662.0700,707,709,789,177,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5662.0100,707,709,789,505,507
5,5640.8600,707,865,789,505,507
5,5628.0500,707,709,758,507,789
5,5624.3000,709,731,789,505,507
5,5623.4000,707,709,507,432,789
