n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,7679.6200,394,186,401,602,250,347,860
7,7665.4600,394,250,401,395,602,347,860
7,7665.4600,394,250,401,395,602,347,860
7,7665.4600,394,250,401,395,602,347,860
7,7665.4600,394,250,401,395,602,347,860
7,7665.4600,394,250,401,395,602,347,860
7,7665.4600,394,250,401,395,602,347,860
7,7665.4600,394,250,401,395,602,347,860
7,7665.4600,394,250,401,395,602,347,860
7,7665.4600,394,250,401,395,602,347,860
7,7665.4600,394,250,401,395,602,347,860
7,7665.4600,394,250,401,395,602,347,860
7,7665.4600,394,250,401,395,602,347,860
7,7657.7200,707,347,401,602,793,250,860
7,7654.4800,707,394,203,401,602,658,250
7,7654.4800,707,394,203,401,602,658,250
7,7654.4800,707,394,203,401,602,658,250
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
7,7638.7300,394,347,401,602,793,250,860
