n_nodes,influence,n0
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
1,3.4653,795
