n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,33.4660,684,261,802,401,973,206,597,789,157,926
10,33.4279,261,165,128,684,973,206,401,789,157,926
10,33.3888,684,261,802,401,973,206,165,789,157,926
10,33.3888,684,261,802,401,973,206,165,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3647,684,261,679,401,973,206,597,789,157,926
10,33.3572,261,277,684,973,206,401,597,789,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.3009,684,261,802,525,947,401,789,632,157,926
10,33.2748,261,165,679,684,973,206,401,789,157,499
10,33.2748,684,261,679,401,973,206,789,632,157,926
10,33.2709,684,261,802,525,947,401,165,789,157,926
10,33.2676,684,261,679,401,973,206,165,789,157,926
10,33.2676,684,261,679,401,973,206,165,789,157,926
10,33.2676,684,261,679,401,973,206,165,789,157,926
10,33.2676,684,261,679,401,973,206,165,789,157,926
