n_nodes,influence,n0,n1
2,6.9867,795,157
2,6.9867,795,157
2,6.9867,795,157
2,6.9867,795,157
2,6.9867,795,157
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
2,6.9558,157,507
