n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,23.4169,293,261,507,136,454,241,347
7,23.3783,347,261,939,293,136,454,344
7,23.2911,347,261,939,293,136,944,344
7,23.2911,347,261,939,293,136,944,344
7,23.2854,347,261,902,293,136,454,344
7,23.2854,347,261,902,293,136,454,344
7,23.2732,347,261,902,293,939,994,344
7,23.2624,347,261,944,241,136,454,344
7,23.2624,347,261,944,241,136,454,344
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2615,347,261,902,293,939,944,241
7,23.2255,347,261,902,293,136,454,241
7,23.2255,347,261,902,293,136,454,241
7,23.2082,347,261,939,293,136,944,241
7,23.2082,347,261,939,293,136,944,241
7,23.2082,347,261,939,293,136,944,241
7,23.2029,347,902,939,293,136,944,344
7,23.2029,347,902,939,293,136,944,344
7,23.2029,347,902,939,293,136,944,344
7,23.1733,347,261,944,293,136,454,241
7,23.1733,347,261,944,293,136,454,241
7,23.1733,347,261,944,293,136,454,241
7,23.1369,347,261,902,293,136,944,241
7,23.1354,261,902,939,293,136,944,344
7,23.1354,261,902,939,293,136,944,344
7,23.1354,261,902,939,293,136,944,344
7,23.1308,347,261,902,293,136,994,344
7,23.1259,403,261,902,136,454,241,347
7,23.1237,11,261,902,293,136,454,344
7,23.1237,11,261,902,293,136,454,344
7,23.1237,11,261,902,293,136,454,344
7,23.1237,11,261,902,293,136,454,344
7,23.1175,11,261,902,293,939,944,241
7,23.1010,347,902,939,293,136,944,241
7,23.1010,347,902,939,293,136,944,241
7,23.1010,347,902,939,293,136,944,241
7,23.1010,347,902,939,293,136,944,241
7,23.1010,347,902,939,293,136,944,241
7,23.1010,347,902,939,293,136,944,241
7,23.0843,347,261,944,241,136,994,344
7,23.0843,347,261,944,241,136,994,344
