n_nodes,influence,n0,n1,n2,n3,n4
5,15436.0000,241,46,155,344,926
5,15395.5000,347,46,344,317,926
5,15329.2500,241,46,155,317,926
5,15313.2500,241,344,155,317,709
5,15307.7500,241,155,317,344,926
5,15307.7500,241,344,155,317,926
5,15307.7500,241,155,344,317,926
5,15307.7500,241,155,317,344,926
5,15307.7500,241,155,317,344,926
5,15307.7500,241,155,317,344,926
5,15307.7500,241,155,317,344,926
5,15307.7500,241,344,155,317,926
5,15307.7500,241,155,317,344,926
5,15307.7500,241,344,155,317,926
5,15307.7500,241,155,317,344,926
5,15307.7500,241,155,317,344,926
5,15307.7500,241,155,317,344,926
5,15307.7500,241,344,155,317,926
5,15307.7500,241,155,317,344,926
5,15307.7500,241,155,317,344,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,317,344,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
5,15291.7500,241,46,344,317,926
