n_nodes,influence,n0,n1,n2,n3,n4
5,17.0154,795,347,394,947,507
5,17.0121,795,347,261,947,507
5,16.9492,344,394,261,454,507
5,16.9425,795,261,394,947,507
5,16.9425,795,261,394,947,507
5,16.9425,795,261,394,947,507
5,16.9425,795,261,394,947,507
5,16.9425,795,261,394,947,507
5,16.9425,795,261,394,947,507
5,16.9425,795,261,394,947,507
5,16.9425,795,261,394,947,507
5,16.9425,795,261,394,947,507
5,16.9417,795,261,394,454,507
5,16.9417,795,261,394,454,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9273,344,394,261,947,507
5,16.9042,515,347,261,454,507
5,16.9042,515,347,261,454,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.9038,515,347,261,947,507
5,16.8838,515,347,394,947,507
5,16.8838,515,347,394,947,507
5,16.8838,515,347,394,947,507
5,16.8838,515,347,394,947,507
5,16.8838,515,347,394,947,507
5,16.8838,515,347,394,947,507
5,16.8838,515,347,394,947,507
5,16.8838,515,347,394,947,507
5,16.8838,515,347,394,947,507
5,16.8838,515,347,394,947,507
5,16.8838,515,347,394,947,507
5,16.8838,515,347,394,947,507
