n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,11211.5200,149,777,202,684,46,401,659,597,344,157
10,11211.5200,149,777,202,684,46,401,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,777,202,684,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
10,11189.7700,684,777,202,46,401,583,659,597,344,157
