n_nodes,influence,n0,n1
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
2,2392.8200,795,401
