n_nodes,influence,n0,n1,n2,n3,n4
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
5,5825.8100,347,46,401,344,157
