n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,8060.7100,46,401,659,597,344,317,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,46,401,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,46,401,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,46,401,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,46,401,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,46,401,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,46,401,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
7,8028.4000,401,46,697,659,597,344,157
