n_nodes,influence,n0
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
1,3.6284,401
