n_nodes,influence,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9
10,33.9963,777,202,46,401,515,659,597,344,507,157
10,33.8663,777,202,46,401,487,659,597,344,507,157
10,33.7857,777,202,46,401,558,659,597,344,507,157
10,33.7857,777,202,46,401,558,659,597,344,507,157
10,33.7857,777,202,46,401,558,659,597,344,507,157
10,33.7631,777,967,46,401,17,659,597,344,507,157
10,33.7631,777,967,46,401,17,659,597,344,507,157
10,33.7631,777,967,46,401,17,659,597,344,507,157
10,33.7631,777,967,46,401,17,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7571,777,202,46,401,450,659,597,344,507,157
10,33.7152,777,202,46,401,812,659,597,344,507,157
10,33.7152,777,202,46,401,812,659,597,344,507,157
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
10,33.6494,401,344,46,17,157,597,659,777,507,202
