n_nodes,influence,n0,n1
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
2,7.0844,401,507
