n_nodes,influence,n0,n1,n2,n3,n4,n5,n6
7,24.0879,681,46,401,659,597,344,157
7,24.0879,681,46,401,659,597,344,157
7,24.0879,681,46,401,659,597,344,157
7,24.0879,681,46,401,659,597,344,157
7,24.0879,681,46,401,659,597,344,157
7,24.0879,681,46,401,659,597,344,157
7,24.0879,681,46,401,659,597,344,157
7,24.0879,681,46,401,659,597,344,157
7,24.0879,681,46,401,659,597,344,157
7,24.0879,681,46,401,659,597,344,157
7,24.0879,681,46,401,659,597,344,157
7,24.0879,681,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,24.0694,104,46,401,659,597,344,157
7,23.9937,104,46,401,659,597,468,157
7,23.9868,104,46,401,242,157,344,659
7,23.9868,104,46,401,242,157,344,659
7,23.9868,104,46,401,242,157,344,659
7,23.9868,104,46,401,242,157,344,659
7,23.9868,104,46,401,242,157,344,659
7,23.9853,681,46,401,242,157,597,659
